"","address","availability","groups","languages","billing","zipcode"
"1","Praxis für Psychotherapie Frankenstrasse 9 6004 Luzern Switzerland","No date currently available","Older adults Adults Couples Teams Senior management","German Swiss German","Partially covered by supplementary insurance",6004
"2","Emil Frey-Strasse 70 4142 Münchenstein Switzerland","No date currently available","Older adults Adults Young adults Senior management","German Swiss German French Italian","Covered by basic insurance",4142
"3","Psychotherapeutisches Zentrum Binzmühlestrasse 14 8050 Zürich Switzerland","At least four weeks","Adults Young adults Couples Families Teams","German French English","Covered by basic insurance To be paid by yourself",8050
"4","Consultations LES NUANCES 12 Rue de l'Hôpital 1920 Martigny Switzerland","Two to four weeks","Adults Young adults Couples Families Groups","French","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",1920
"5","Niederdorfstrasse 18 8001 Zuerich Switzerland","Two to four weeks","Older adults Adults Young adults","German French","Covered by basic insurance To be paid by yourself",8001
"6","Mme M. B. Boolakee Av. Alexandre Vinet 30 1815 Clarens Switzerland","At least four weeks","Adults Young adults Senior management","French","Covered by basic insurance To be paid by yourself",1815
"7","STUDIO DI PSICOTERAPIA DI SIMONA BOMIO E JOELLE DOZIO BELLORINI via Battista Foletti 23 6900 Massagno Switzerland","Two to four weeks","Adults Young adults Couples Families Teenagers Children","French Italian English","Covered by basic insurance",6900
"8","Psychotherapie Bellevue Prof.Dr.Brigitte Boothe Rämistrasse 5 8194 Zürich Switzerland","Two to four weeks","Older adults Adults Couples Senior management","German","To be paid by yourself",8194
"9","born.life Wehntalerstrasse 3 8057 Zürich Switzerland","At least four weeks","Adults Couples Senior management Older adults Young adults","German Swiss German English","Covered by basic insurance",8057
"10","Chemin du Joran 1 1260 Nyon Switzerland","At least four weeks","Young adults Teenagers Children","French","Covered by basic insurance",1260
"11","Andrew Bos Ambulatorium SGM Hauptstrasse 52 6045 Meggen Switzerland","No date currently available","Adults","German Swiss German English","Covered by basic insurance",6045
"12","Lucia Bossart Fässler Rue des Moulins 12 2800 Delémont Switzerland","Two to four weeks","Adults Older adults Couples","French","Covered by basic insurance",2800
"13","Cabinet du Dr Willis Rue de La Paix 11 1820 Montreux Switzerland","At least four weeks","Adults Couples Teenagers","French English Spanish","Covered by basic insurance",1820
"14","SolPsy - cabinet de psychothérapie FSP rue du Simplon 48 dans Physio Riviera 1800 Vevey Switzerland SolPsy - cabinet de psychothérapie FSP place du Midi 29 1950 Sion Switzerland","Less than two weeks","Couples Adults Young adults Senior management","French Portuguese Spanish","Partially covered by supplementary insurance Covered by basic insurance",1800
"15","Praxis für Psychotherapie und psychologische Beratung im Emmental Emmestrasse 1 3432 Lützelflüh-Goldbach Switzerland","No date currently available","Adults","German Swiss German","Covered by basic insurance To be paid by yourself",3432
